rfid,hour,failed_attempts,device_id,label
RFID-3004,0,10,1,anomalous
RFID-3006,5,15,1,anomalous
RFID-3003,4,19,1,anomalous
RFID-3002,5,13,1,anomalous
RFID-3007,5,12,1,anomalous
RFID-3009,1,19,1,anomalous
RFID-3003,1,18,1,anomalous
RFID-3004,4,15,1,anomalous
RFID-3007,1,15,1,anomalous
RFID-3005,2,16,1,anomalous
RFID-3006,1,17,1,anomalous
RFID-3007,0,16,1,anomalous
RFID-3002,1,16,1,anomalous
RFID-3003,0,12,1,anomalous
RFID-3004,1,14,1,anomalous
RFID-3005,2,12,1,anomalous
RFID-3002,0,14,1,anomalous
RFID-3001,0,10,1,anomalous
RFID-3007,3,10,1,anomalous
RFID-3003,2,11,1,anomalous
RFID-3006,0,16,1,anomalous
RFID-3004,2,18,1,anomalous
RFID-3007,4,14,1,anomalous
RFID-3005,0,13,1,anomalous
RFID-3009,1,11,1,anomalous
RFID-3008,1,16,1,anomalous
RFID-3003,4,14,1,anomalous
RFID-3002,4,12,1,anomalous
RFID-3001,4,16,1,anomalous
RFID-3008,4,15,1,anomalous
RFID-3007,5,16,1,anomalous
RFID-3006,2,14,1,anomalous
RFID-3004,5,19,1,anomalous
RFID-3009,0,12,1,anomalous
RFID-3005,4,12,1,anomalous
RFID-3001,2,18,1,anomalous
RFID-3002,2,15,1,anomalous
RFID-4001,10,3,1,anomalous
RFID-4002,11,4,1,anomalous
RFID-4003,12,3,1,anomalous
RFID-4004,13,5,1,anomalous
RFID-4005,14,3,1,anomalous
RFID-4006,15,4,1,anomalous
RFID-4007,16,3,1,anomalous
RFID-4008,17,5,1,anomalous
RFID-4009,18,3,1,anomalous
RFID-4010,19,4,1,anomalous
RFID-4011,20,3,1,anomalous
RFID-4012,21,5,1,anomalous
RFID-4013,22,3,1,anomalous
RFID-4014,23,4,1,anomalous
RFID-4015,0,3,1,anomalous
RFID-4016,1,5,1,anomalous
RFID-4017,2,3,1,anomalous
RFID-4018,3,4,1,anomalous
RFID-4019,4,3,1,anomalous
RFID-4020,5,5,1,anomalous
RFID-4021,6,3,1,anomalous
RFID-4022,7,4,1,anomalous
RFID-4023,8,3,1,anomalous
RFID-4024,9,5,1,anomalous
RFID-4025,10,3,1,anomalous
RFID-4026,11,4,1,anomalous
RFID-4027,12,3,1,anomalous
RFID-4028,13,5,1,anomalous
RFID-4029,14,3,1,anomalous
RFID-4030,15,4,1,anomalous
RFID-4031,16,3,1,anomalous
RFID-4032,17,5,1,anomalous
RFID-4033,18,3,1,anomalous
RFID-4034,19,4,1,anomalous
RFID-4035,20,3,1,anomalous
RFID-4036,21,5,1,anomalous
RFID-4037,22,3,1,anomalous
RFID-4038,23,4,1,anomalous
RFID-4039,0,3,1,anomalous
RFID-4040,1,5,1,anomalous
RFID-4041,2,3,1,anomalous
RFID-4042,3,4,1,anomalous
RFID-4043,4,3,1,anomalous
RFID-4044,5,5,1,anomalous
RFID-4045,6,3,1,anomalous
RFID-4046,7,4,1,anomalous
RFID-4047,8,3,1,anomalous
RFID-4048,9,5,1,anomalous
RFID-4049,10,3,1,anomalous
RFID-4050,11,4,1,anomalous
RFID-4051,12,3,1,anomalous
RFID-4052,13,5,1,anomalous
RFID-4053,14,3,1,anomalous
RFID-4054,15,4,1,anomalous
RFID-4055,16,3,1,anomalous
RFID-4056,17,5,1,anomalous
RFID-4057,18,3,1,anomalous
RFID-4058,19,4,1,anomalous
RFID-4059,20,3,1,anomalous
RFID-4060,21,5,1,anomalous
RFID-4061,22,3,1,anomalous
RFID-4062,23,4,1,anomalous
RFID-4063,0,3,1,anomalous
RFID-4064,1,5,1,anomalous
RFID-4065,2,3,1,anomalous
RFID-4066,3,4,1,anomalous
RFID-4067,4,3,1,anomalous
RFID-4068,5,5,1,anomalous
RFID-4069,6,3,1,anomalous
RFID-4070,7,4,1,anomalous
RFID-4071,8,3,1,anomalous
RFID-4072,9,5,1,anomalous
RFID-4073,10,3,1,anomalous
RFID-4074,11,4,1,anomalous
RFID-4075,12,3,1,anomalous
RFID-4076,13,5,1,anomalous
RFID-4077,14,3,1,anomalous
RFID-4078,15,4,1,anomalous
RFID-4079,16,3,1,anomalous
RFID-4080,17,5,1,anomalous
RFID-4081,18,3,1,anomalous
RFID-4082,19,4,1,anomalous
RFID-4083,20,3,1,anomalous
RFID-4084,21,5,1,anomalous
RFID-4085,22,3,1,anomalous
RFID-4086,23,4,1,anomalous
RFID-4087,0,3,1,anomalous
RFID-4088,1,5,1,anomalous
RFID-4089,2,3,1,anomalous
RFID-4090,3,4,1,anomalous
RFID-4091,4,3,1,anomalous
RFID-4092,5,5,1,anomalous
RFID-4093,6,3,1,anomalous
RFID-4094,7,4,1,anomalous
RFID-4095,8,3,1,anomalous
RFID-4096,9,5,1,anomalous
RFID-4097,10,3,1,anomalous
RFID-4098,11,4,1,anomalous
RFID-4099,12,3,1,anomalous
RFID-4100,13,5,1,anomalous
